X,Y,OBJECTID,Tyyp,Rataste_arv,Asukoht,Staatus,Linnaosa,GlobalID
657533.846199997,6475307.5364,6858,4,17,50 EMÜ spordihoone,1,13,{23003098-BA60-4ACE-9B67-92CEAE6AA6D8}
656783.057999998,6471757.8915,6859,4,10,51 Lõunakeskus,1,10,{BD5EAF23-A99F-460D-826F-EE8F23AC2E88}
659277.549900003,6471787.891,6860,4,13,Rahu,1,8,{2D5A27D3-9301-43D2-9263-1B2DEE47BB06}
657376.853299998,6472469.2492,6861,4,16,53 Tamme gümnaasium,1,6,{42763839-C62B-49B3-AEDC-7ADE1C9202C2}
657741.966200002,6473738.3461,6862,4,16,54 Veeriku,1,16,{F9200BE5-11C4-43F9-A365-532F44F45CD6}
659135.530000001,6474298.8478,6863,4,16,55 Pirogovi plats,1,5,{49DB1C82-F933-4507-B40B-8060D8CC8E30}
659332.7192,6474383.3795,6864,4,16,56 Magistri,1,5,{E9EFFABB-8FF6-4F22-BFDE-DE2AE0F581DB}
659283.335000001,6474959.514,6865,4,10,57 Vabadussild,1,17,{E454271E-64BA-4684-B052-B1324AC26C51}
658572.057300001,6476424.0217,6866,4,14,58 Põllu,1,7,{729CB6D7-C1C0-4252-84F6-5B16E816DCFD}
660320.625200003,6472600.6078,6867,4,11,59 Tarmeko,1,4,{8A7AD738-270A-4AF1-AFD1-C23D6E83B64C}
660429.898500003,6470934.8614,6868,4,11,60 Sepa turg,1,9,{BD63C25B-051F-452D-AC92-074906AFDD8E}
662724.124600001,6470529.529,6869,4,11,61 Ihaste,1,2,{F93C63F7-9C68-4CBC-9C4E-067BC71CBD4E}
657557.738799997,6477194.5473,6870,4,9,62 Kvissentali,1,17,{41204BE0-85DE-4951-9F0F-D93D6C9C133C}
657869.377800003,6473001.2587,6871,4,16,63 Maarjamõisa,1,6,{AB5DCB75-3E42-41B1-8135-CCD227973A0F}
658844.391900003,6470819.3085,6872,4,17,64 Kopli,1,8,{C49AC452-CC8C-4035-A033-E9A626A1A6F6}
659397.199600004,6474796.955,6873,4,20,65 Delta,1,17,{851ECD58-BEA6-4C40-A8C3-85177BD67FCB}
659245.7126,6473628.9252,6874,4,16,66 Riiamäe,1,5,{C54C1146-25A4-4A8F-9A65-267AB218ED73}
658377.938100003,6472434.0628,6875,4,16,67 Tamme kool,1,12,{315C07C3-118F-4F19-83A9-C6907C55D327}
660966.466200002,6473626.4181,6876,4,12,68 Eeden,1,1,{51659775-697D-4E6C-80AA-B8DCDAAC63CB}
661716.591200002,6474301.4726,6877,4,12,69 Kivilinna,1,1,{74C0EA6D-C0D3-4820-BB7A-3D4E99036466}
649813.2412,6474771.824,6880,4,20,73  Ilmatsalu,1,,{C2366217-8EC1-4835-84B1-86B2966B2634}
654999.233499996,6472288.4618,6882,4,20,71 Märja,1,,{946E652B-B7D8-4984-8EDA-ABCA1E85123D}
659010.2892,6470084.1782,6884,4,20,78 Ringtee,1,9,{7541F91B-2226-417D-ABE4-5590D185D7CF}
